station,valid,tmpf,relh
ALB,2021-01-12 00:51,27.00,84.66
ALB,2021-01-12 01:51,26.10,87.87
ALB,2021-01-12 02:51,26.10,83.89
ALB,2021-01-12 03:51,24.10,87.76
ALB,2021-01-12 04:51,24.10,87.76
ALB,2021-01-12 05:51,25.00,87.81
ALB,2021-01-12 06:51,25.00,87.81
ALB,2021-01-12 07:51,24.10,91.17
ALB,2021-01-12 08:51,24.10,91.17
ALB,2021-01-12 09:51,24.10,91.17
ALB,2021-01-12 10:51,23.00,95.47
ALB,2021-01-12 11:51,24.10,95.49
ALB,2021-01-12 12:51,25.00,96.31
ALB,2021-01-12 13:51,28.00,88.33
ALB,2021-01-12 14:51,30.90,82.15
ALB,2021-01-12 15:51,30.00,85.21
ALB,2021-01-12 16:51,30.00,85.21
ALB,2021-01-12 17:51,30.00,85.21
ALB,2021-01-12 18:51,30.90,82.15
ALB,2021-01-12 19:26,30.00,81.40
ALB,2021-01-12 19:51,30.90,78.48
ALB,2021-01-12 20:51,30.90,82.15
ALB,2021-01-12 21:51,30.00,85.21
ALB,2021-01-12 22:51,28.90,85.14
ALB,2021-01-12 23:51,28.90,85.14
ALB,2021-01-13 00:51,28.00,92.46
ALB,2021-01-13 01:51,28.00,92.46
ALB,2021-01-13 02:51,28.00,92.46
ALB,2021-01-13 03:51,28.00,92.46
ALB,2021-01-13 04:51,28.00,92.46
ALB,2021-01-13 05:51,27.00,96.35
ALB,2021-01-13 06:02,27.00,96.35
ALB,2021-01-13 06:51,27.00,96.35
ALB,2021-01-13 07:23,27.00,96.35
ALB,2021-01-13 07:51,27.00,96.35
ALB,2021-01-13 08:00,26.60,100.00
ALB,2021-01-13 08:32,26.10,95.53
ALB,2021-01-13 08:51,26.10,95.53
ALB,2021-01-13 09:51,25.00,100.00
ALB,2021-01-13 10:51,24.10,100.00
ALB,2021-01-13 11:51,25.00,100.00
ALB,2021-01-13 12:51,26.10,95.53
ALB,2021-01-13 13:51,27.00,92.05
ALB,2021-01-13 14:51,28.00,88.33
ALB,2021-01-13 15:51,28.90,85.14
ALB,2021-01-13 16:51,30.00,81.40
ALB,2021-01-13 17:51,30.90,78.48
ALB,2021-01-13 18:51,32.00,75.07
ALB,2021-01-13 19:51,32.00,72.30
ALB,2021-01-13 20:51,32.00,75.07
ALB,2021-01-13 21:51,32.00,75.07
ALB,2021-01-13 22:51,30.90,78.48
ALB,2021-01-13 23:51,30.90,78.48
ALB,2021-01-14 00:51,30.90,75.59
ALB,2021-01-14 01:51,28.90,82.00
ALB,2021-01-14 02:51,28.90,82.00
ALB,2021-01-14 03:51,28.00,81.25
ALB,2021-01-14 04:51,28.90,82.00
ALB,2021-01-14 05:51,28.90,82.00
ALB,2021-01-14 06:51,28.90,85.14
ALB,2021-01-14 07:51,30.00,81.40
ALB,2021-01-14 08:51,30.00,81.40
ALB,2021-01-14 09:51,30.90,78.48
ALB,2021-01-14 10:51,30.00,85.21
ALB,2021-01-14 11:51,30.00,85.21
ALB,2021-01-14 12:51,30.90,82.15
ALB,2021-01-14 13:51,32.00,78.58
ALB,2021-01-14 14:51,32.00,81.55
ALB,2021-01-14 15:51,32.00,84.98
ALB,2021-01-14 16:51,33.00,88.23
ALB,2021-01-14 17:51,34.00,88.27
ALB,2021-01-14 18:51,34.00,88.27
ALB,2021-01-14 19:51,34.00,88.27
ALB,2021-01-14 20:51,34.00,88.27
ALB,2021-01-14 21:51,33.00,91.51
ALB,2021-01-14 22:51,32.00,92.22
ALB,2021-01-14 23:51,30.90,96.41
ALB,2021-01-15 00:51,32.00,88.17
ALB,2021-01-15 01:51,32.00,88.17
ALB,2021-01-15 02:26,30.00,95.61
ALB,2021-01-15 02:51,30.90,92.18
ALB,2021-01-15 03:36,30.00,95.61
ALB,2021-01-15 03:51,30.00,95.61
ALB,2021-01-15 04:51,30.90,88.84
ALB,2021-01-15 05:51,30.00,92.15
ALB,2021-01-15 06:51,28.90,92.49
ALB,2021-01-15 07:51,27.00,100.00
ALB,2021-01-15 08:51,25.00,100.00
ALB,2021-01-15 09:51,21.90,100.00
ALB,2021-01-15 10:51,21.00,100.00
ALB,2021-01-15 11:04,19.40,100.00
ALB,2021-01-15 11:27,19.90,100.00
ALB,2021-01-15 11:51,21.90,100.00
ALB,2021-01-15 12:34,21.00,100.00
ALB,2021-01-15 12:51,19.00,100.00
ALB,2021-01-15 13:40,24.10,100.00
ALB,2021-01-15 13:51,26.10,95.53
ALB,2021-01-15 14:40,28.00,100.00
ALB,2021-01-15 14:51,28.90,100.00
ALB,2021-01-15 15:51,33.00,88.23
ALB,2021-01-15 16:51,34.00,81.37
ALB,2021-01-15 16:54,34.00,81.37
ALB,2021-01-15 17:51,35.00,77.88
ALB,2021-01-15 18:06,35.00,77.88
ALB,2021-01-15 18:51,35.00,77.88
ALB,2021-01-15 19:51,36.00,75.15
ALB,2021-01-15 20:51,36.00,75.15
ALB,2021-01-15 21:51,36.00,75.15
ALB,2021-01-15 22:51,37.00,75.56
ALB,2021-01-15 23:06,35.60,80.51
ALB,2021-01-15 23:51,37.00,75.56
ALB,2021-01-16 00:15,37.00,75.56
ALB,2021-01-16 00:51,38.00,72.93
ALB,2021-01-16 01:21,38.00,72.93
ALB,2021-01-16 01:51,37.00,78.37
ALB,2021-01-16 02:03,38.00,72.93
ALB,2021-01-16 02:51,38.00,72.93
ALB,2021-01-16 03:46,37.40,74.98
ALB,2021-01-16 03:51,37.00,75.56
ALB,2021-01-16 04:36,35.60,80.51
ALB,2021-01-16 04:51,36.00,78.60
ALB,2021-01-16 05:42,34.00,85.11
ALB,2021-01-16 05:51,33.00,88.23
ALB,2021-01-16 06:02,32.00,95.65
ALB,2021-01-16 06:12,30.90,100.00
ALB,2021-01-16 06:19,30.90,100.00
ALB,2021-01-16 06:32,30.20,100.00
ALB,2021-01-16 06:49,30.20,100.00
ALB,2021-01-16 06:51,30.00,100.00
ALB,2021-01-16 07:00,30.00,100.00
ALB,2021-01-16 07:04,30.20,100.00
ALB,2021-01-16 07:47,30.20,100.00
ALB,2021-01-16 07:51,30.00,100.00
ALB,2021-01-16 08:27,30.00,100.00
ALB,2021-01-16 08:39,30.00,100.00
ALB,2021-01-16 08:51,30.00,100.00
ALB,2021-01-16 09:14,30.20,100.00
ALB,2021-01-16 09:51,30.00,100.00
ALB,2021-01-16 10:22,30.00,100.00
ALB,2021-01-16 10:51,30.00,100.00
ALB,2021-01-16 11:51,30.90,100.00
ALB,2021-01-16 12:47,33.80,100.00
ALB,2021-01-16 12:51,33.00,100.00
ALB,2021-01-16 13:42,32.00,100.00
ALB,2021-01-16 13:51,32.00,100.00
ALB,2021-01-16 14:51,32.00,100.00
ALB,2021-01-16 15:16,30.20,100.00
ALB,2021-01-16 15:51,32.00,100.00
ALB,2021-01-16 16:14,33.80,100.00
ALB,2021-01-16 16:51,34.00,96.46
ALB,2021-01-16 17:51,35.00,95.71
ALB,2021-01-16 18:36,36.00,92.35
ALB,2021-01-16 18:51,36.00,96.49
ALB,2021-01-16 19:02,37.00,92.76
ALB,2021-01-16 19:51,35.00,95.71
ALB,2021-01-16 20:39,35.60,93.08
ALB,2021-01-16 20:51,35.00,88.33
ALB,2021-01-16 21:16,35.00,84.49
ALB,2021-01-16 21:34,35.00,84.49
ALB,2021-01-16 21:51,35.00,84.49
ALB,2021-01-16 22:51,34.00,81.37
ALB,2021-01-16 23:51,32.00,95.65
ALB,2021-01-17 00:18,32.00,92.22
